component_name;replacement_name;comment;source_url

@angular/animations/browser;Angular;;https://github.com/angular/angular
@angular/animations/browser/testing;Angular;;https://github.com/angular/angular
@angular/animations;Angular;;https://github.com/angular/angular
@angular/bazel;Angular;;https://github.com/angular/angular
@angular/benchpress;Angular;;https://github.com/angular/angular
@angular/common;Angular;;https://github.com/angular/angular
@angular/common/http;Angular;;https://github.com/angular/angular
@angular/common/http/testing;Angular;;https://github.com/angular/angular
@angular/common/testing;Angular;;https://github.com/angular/angular
@angular/common/upgrade;Angular;;https://github.com/angular/angular
@angular/compiler;Angular;;https://github.com/angular/angular
@angular/compiler/testing;Angular;;https://github.com/angular/angular
@angular/compiler-cli;Angular;;https://github.com/angular/angular
@angular/core;Angular;;https://github.com/angular/angular
@angular/core/testing;Angular;;https://github.com/angular/angular
@angular/elements;Angular;;https://github.com/angular/angular
@angular/forms;Angular;;https://github.com/angular/angular
@angular/http;Angular;;https://github.com/angular/angular
@angular/language-service;Angular;;https://github.com/angular/angular
@angular/localize/init;Angular;;https://github.com/angular/angular
@angular/localize;Angular;;https://github.com/angular/angular
@angular/platform-browser/animations;Angular;;https://github.com/angular/angular
@angular/platform-browser;Angular;;https://github.com/angular/angular
@angular/platform-browser/testing;Angular;;https://github.com/angular/angular
@angular/platform-browser-dynamic;Angular;;https://github.com/angular/angular
@angular/platform-browser-dynamic/testing;Angular;;https://github.com/angular/angular
@angular/platform-server;Angular;;https://github.com/angular/angular
@angular/platform-server/testing;Angular;;https://github.com/angular/angular
@angular/router;Angular;;https://github.com/angular/angular
@angular/router/testing;Angular;;https://github.com/angular/angular
@angular/router/upgrade;Angular;;https://github.com/angular/angular
@angular/service-worker/config;Angular;;https://github.com/angular/angular
@angular/service-worker;Angular;;https://github.com/angular/angular
@angular/upgrade;Angular;;https://github.com/angular/angular
@angular/upgrade/static;Angular;;https://github.com/angular/angular
@angular/upgrade/static/testing;Angular;;https://github.com/angular/angular
@angular-devkit/schematics;Angular;;https://github.com/angular/angular
@ngtools/webpack;Angular;;https://github.com/angular/angular
@angular-devkit/build-angular;Angular;;https://github.com/angular/angular
@schematics/angular;Angular;;https://github.com/angular/angular
@angular-devkit/core;Angular;;https://github.com/angular/angular

tomcat-dbcp;Apache Tomcat;;
tomcat-embed-core;Apache Tomcat;;
tomcat-embed-el;Apache Tomcat;;
tomcat-embed-jasper;Apache Tomcat;;
tomcat-embed-websocket;Apache Tomcat;;
annotations-api;Apache Tomcat;;
catalina;Apache Tomcat;;
catalina-ant;Apache Tomcat;;
catalina-ha;Apache Tomcat;;
catalina-storeconfig;Apache Tomcat;;
catalina-tribes;Apache Tomcat;;
ecj-4.13;Apache Tomcat;;
el-api.;Apache Tomcat;;
jasper;Apache Tomcat;;
jasper-el;Apache Tomcat;;
jsp-api;Apache Tomcat;;
servlet-api;Apache Tomcat;;
tomcat-api;Apache Tomcat;;
tomcat-coyote;Apache Tomcat;;
tomcat-dbcp;Apache Tomcat;;
tomcat-i18n*;Apache Tomcat;multiple files;
tomcat-jdbc;Apache Tomcat;;
tomcat-jni;Apache Tomcat;;
tomcat-util;Apache Tomcat;;
tomcat-websocket;Apache Tomcat;;

@babel/cli;babel;;https://github.com/babel/babel
@babel/code-frame;babel;;https://github.com/babel/babel
@babel/compat-data;babel;;https://github.com/babel/babel
@babel/core;babel;;https://github.com/babel/babel
@babel/generator;babel;;https://github.com/babel/babel
@babel/helper-annotate-as-pure;babel;;https://github.com/babel/babel
@babel/helper-builder-binary-assignment-operator-visitor;babel;;https://github.com/babel/babel
@babel/helper-builder-react-jsx;babel;;https://github.com/babel/babel
@babel/helper-compilation-targets;babel;;https://github.com/babel/babel
@babel/helper-create-class-features-plugin;babel;;https://github.com/babel/babel
@babel/helper-create-regexp-features-plugin;babel;;https://github.com/babel/babel
@babel/helper-define-map;babel;;https://github.com/babel/babel
@babel/helper-environment-visitor;babel;;https://github.com/babel/babel
@babel/helper-explode-assignable-expression;babel;;https://github.com/babel/babel
@babel/helper-fixtures;babel;;https://github.com/babel/babel
@babel/helper-function-name;babel;;https://github.com/babel/babel
@babel/helper-get-function-arity;babel;;https://github.com/babel/babel
@babel/helper-hoist-variables;babel;;https://github.com/babel/babel
@babel/helper-member-expression-to-functions;babel;;https://github.com/babel/babel
@babel/helper-module-imports;babel;;https://github.com/babel/babel
@babel/helper-module-transforms;babel;;https://github.com/babel/babel
@babel/helper-optimise-call-expression;babel;;https://github.com/babel/babel
@babel/helper-plugin-test-runner;babel;;https://github.com/babel/babel
@babel/helper-plugin-utils;babel;;https://github.com/babel/babel
@babel/helper-remap-async-to-generator;babel;;https://github.com/babel/babel
@babel/helper-replace-supers;babel;;https://github.com/babel/babel
@babel/helpers;babel;;https://github.com/babel/babel
@babel/helper-simple-access;babel;;https://github.com/babel/babel
@babel/helper-skip-transparent-expression-wrappers;babel;;https://github.com/babel/babel
@babel/helper-split-export-declaration;babel;;https://github.com/babel/babel
@babel/helper-transform-fixture-test-runner;babel;;https://github.com/babel/babel
@babel/helper-validator-identifier;babel;;https://github.com/babel/babel
@babel/helper-validator-option;babel;;https://github.com/babel/babel
@babel/helper-wrap-function;babel;;https://github.com/babel/babel
@babel/highlight;babel;;https://github.com/babel/babel
@babel/node;babel;;https://github.com/babel/babel
@babel/parser;babel;;https://github.com/babel/babel
@babel/plugin-bugfix-safari-id-destructuring-collision-in-function-expression;babel;;https://github.com/babel/babel
@babel/plugin-bugfix-v8-spread-parameters-in-optional-chaining;babel;;https://github.com/babel/babel
@babel/plugin-external-helpers;babel;;https://github.com/babel/babel
@babel/plugin-proposal-async-do-expressions;babel;;https://github.com/babel/babel
@babel/plugin-proposal-async-generator-functions;babel;;https://github.com/babel/babel
@babel/plugin-proposal-class-properties;babel;;https://github.com/babel/babel
@babel/plugin-proposal-class-static-block;babel;;https://github.com/babel/babel
@babel/plugin-proposal-decorators;babel;;https://github.com/babel/babel
@babel/plugin-proposal-do-expressions;babel;;https://github.com/babel/babel
@babel/plugin-proposal-dynamic-import;babel;;https://github.com/babel/babel
@babel/plugin-proposal-export-default-from;babel;;https://github.com/babel/babel
@babel/plugin-proposal-export-namespace-from;babel;;https://github.com/babel/babel
@babel/plugin-proposal-function-bind;babel;;https://github.com/babel/babel
@babel/plugin-proposal-function-sent;babel;;https://github.com/babel/babel
@babel/plugin-proposal-json-strings;babel;;https://github.com/babel/babel
@babel/plugin-proposal-logical-assignment-operators;babel;;https://github.com/babel/babel
@babel/plugin-proposal-nullish-coalescing-operator;babel;;https://github.com/babel/babel
@babel/plugin-proposal-numeric-separator;babel;;https://github.com/babel/babel
@babel/plugin-proposal-object-rest-spread;babel;;https://github.com/babel/babel
@babel/plugin-proposal-optional-catch-binding;babel;;https://github.com/babel/babel
@babel/plugin-proposal-optional-chaining;babel;;https://github.com/babel/babel
@babel/plugin-proposal-partial-application;babel;;https://github.com/babel/babel
@babel/plugin-proposal-pipeline-operator;babel;;https://github.com/babel/babel
